Original Entry,New Entry
"State University New Platz, NY",State University of New York - New Paltz
State University of New York at New Paltz,State University of New York - New Paltz
"Sterling Memorial Library, Yale University",Yale University
"Sterling Memorial, Yale U",Yale University
Sub basement,
SUNY New Paltz,State University of New York - New Paltz
SUNY New Paltz library,State University of New York - New Paltz
SUNY New Paltz Sojourner Truth Library,State University of New York - New Paltz
SUNY New Paltz STL,State University of New York - New Paltz
Suny Newpaltz Library,State University of New York - New Paltz
"SWEM, William and Mary",William and Mary University
Texas A&amp;M University Evans Library,Texas A&M University
Texas A&amp;M University-Evans Library,Texas A&M University
Texas A&amp;M University-Evans Librarys,Texas A&M University
"TFDL, University of Calgary",University of Calgary
The Boston Public Library,Boston Public Library
The D.H. Hill Library North Carolina State University,North Carolina State University 
The Library of Associated Colleges of Upper New York,Hunter College 
The Library of University of Victory,University of Victoria
The University of Iowa Main Library,University of Iowa
"The University of Queensland Library, Australia",University of Queensland
Thomas Cooper,University of South Carolina
Thomas Cooper - University of South Carolina,University of South Carolina
Thomas Cooper at USC,University of South Carolina
Thomas Cooper Library,University of South Carolina
Thomas Cooper Library (University of South Carolina),University of South Carolina
Thomas Cooper Library -- University of South Carolina,University of South Carolina
Thomas Cooper Library at the University of South Carolina,University of South Carolina
Thomas Cooper Library at USC,University of South Carolina
Thomas Cooper Library USC,University of South Carolina
"Thomas Cooper Library, South Carolina",University of South Carolina
"Thomas Cooper Library, University of South Carolina",University of South Carolina
Thomas Cooper Memorial Library,University of South Carolina
"Thomas Cooper, University of South Carolina",University of South Carolina
"Tics Library, Tufts University",Tufts University
"Tisch Library, Tufts University",Tufts University
Tufts University Tisch Library,Tufts University
U Victoria,University of Victoria
UM,University of Miami
Univeristy of Miami Richter Library,University of Miami
Université de Montréal,University of Montreal
"University Libraries, University of Nevada Las Vegas",University of Nevada - Las Vegas
"University Libraries, University of Nevada, Las Vegas",University of Nevada - Las Vegas
University of British Columbia Koerner Library,University of British Columbia
"University of Calgary, Taylor Family Digital Library",University of Calgary
"University of Connecticut-Storrs, Babbidge Library",University of Connecticut 
University of Iowa,University of Iowa
University of Iowa Main Library,University of Iowa
"University of Iowa, Main Library",University of Iowa
"University of Memphis, McWherter Library",University of Mephis
University of Miami,University of Miami
University of Miami richter,University of Miami
University of Missouri Libraries Depository 2,University of Missouri
University of Nebraska-Lincoln,University of Nebraska - Lincoln
University of Pennsylvania - Van Pelt,University of Pennsylvania
"University of Queensland Library, Australia",University of Queensland
University of S Carolina Irvin Dept of Rare Books and Special Collections,University of South Carolina
University of South Carolina,University of South Carolina
University of South Carolina - Thomas Cooper Library,University of South Carolina
University of South Carolina Thomas Cooper Library,University of South Carolina
"University of South Carolina, Rare Books",University of South Carolina
"University of South Carolina, Thomas Cooper",University of South Carolina
"University of South Carolina, Thomas Cooper Lib",University of South Carolina
University of Tennessee at Chattanooga,University of Tennessee - Chattanooga
University of Victoria,University of Victoria
University of Victoria (McPherson Library),University of Victoria
University of Victoria - McPherson Library,University of Victoria
University of Victoria Library,University of Victoria
University of Victoria McPherson Library,University of Victoria
"University of Victoria, BC",University of Victoria
"University of Victoria, Canada",University of Victoria
University of Virginia,University of Virginia
University of Virginia Alderman Library,University of Virginia
"University of Virginia, Alderman Library",University of Virginia
University of Waterloo,University of Waterloo
UNL,University of Nevada - Las Vegas
UNLV,University of Nevada - Las Vegas
UNLV Lied Library,University of Nevada - Las Vegas
UNLV University Libraries,University of Nevada - Las Vegas
USA,The University of Virginia
USC Thomas Cooper,University of South Carolina
UVA,University of Virginia
UVA Alderman LIBRARY,University of Virginia
UVic,University of Victoria
UVIC McPherson,University of Victoria
UVic McPherson Library,University of Victoria 
"Van Wylen Library, Hope College",Hope College
"Van Wylen Library, Hope College, Holland, Michigan",Hope College
"Van Wylen, Hope College",Hope College
Victoria and Albert Museum Archives (Blythe House),Victoria and Albert Museum
Walters Art Museum Research Library (general stacks),Walters Art Museum 
"Weeks Music Library, University of Miami",University of Miami
Wellesley College Clapp Library,Wellesley College
Widener Library,Harvard University
Williston Library at Mount Holyoke College,Mount Holyoke College
Williston Memorial Library,Mount Holyoke College
Williston Memorial Library at Mount Holyoke College,Mount Holyoke College
"Williston Memorial Library, Mount Holyoke College",Mount Holyoke College
Willitson Library at Mount Holyoke College,Mount Holyoke College
Yale University Library,Yale University
